post_uri,post_cid,author_handle,author_did,author_display_name,text,created_at,reply_count,repost_count,like_count,quote_count,hashtags,mentions,links,topic_label,query_used,author_topic_type,engagement
at://did:plc:wfnerm5c2emfy4iffllxqlr5/app.bsky.feed.post/3mnwdei6i6k2s,bafyreihbmk45wvwsl2zinu5zzjpthaod3ppl76mqyckvbumyodqzz33tji,andreafriz.bsky.social,did:plc:wfnerm5c2emfy4iffllxqlr5,il Friz 🐒,Ma quelli del padel stanno nel loro gabbiotto e non rompono il cazzo a nessuno  sul bagnasciuga!!  😅,2026-06-10 08:50:12.091000+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:36zpq6cbx7jmsoce2hr624v4/app.bsky.feed.post/3mnwd3y247k2m,bafyreic2zieczcvupdx6djmhvflnmevfq3ivtwpvsvoxp32ed6pr3yrwyi,siisar.bsky.social,did:plc:36zpq6cbx7jmsoce2hr624v4,s11sar,"Estado: buscando piso.
Encontrado: la gran estafa del siglo XXI... Urbanizaciones con piscina, gimnasio y pistas de pádel con cuotas mensuales de comunidad de muchicientos euros 🫠",2026-06-10 08:45:26.734000+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:4vmk2bts7rbvhlikpd5357ck/app.bsky.feed.post/3mnwczv3yec2q,bafyreie2pquewqbvnffh5bqybjgj6au67pkxol6cwefoguchzytgaie43a,shymon84.bsky.social,did:plc:4vmk2bts7rbvhlikpd5357ck,Shymon84 🍉,"Non si dice più racchettoni, si dice padel... 😁😁😁",2026-06-10 08:44:16.542000+00:00,1,0,1,0,[],[],[],padel,padel,padel_only,2
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwcv7us6l22,bafyreih22677rhscs77dc44hpmehtl4dxwrjraqr5z5khfrh6nhgvb5x4q,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 1

A. Tur Checa/T. Gasparin Santos vs A. Campo/G. Giacalone",2026-06-10 08:41:39.856037+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwcv6b6kb27,bafyreido4bzbyamwuxqqkwhycxk4zgj7owb4ippbsrdoid5am7ucniffku,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 2

I. Corbo/M. Bartusek vs M. Alonso/J. Mazzochi",2026-06-10 08:41:38.166883+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwcv5gxjl2n,bafyreig26yr5zqntynpn7tusfno3rghgu6rpzu6gjk55ze4qmgvpusnl6y,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 1

M. Quatrana/R. Cavaleri vs A. Feo/M. Di Maggio",2026-06-10 08:41:37.291277+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwcv4qsoz27,bafyreig2xucl5mnqyi2moedtz25dakhywgr24kw6q7fggisrvzsylxwsya,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 1

A. Terzo/N. Pineda vs A. Di Martino/A. Stella",2026-06-10 08:41:36.579417+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwaqgmkze2n,bafyreifnnbhyn2w5svzw2ax5n3sduqzpvub2ttsb57bqe6jw4vlkcf737a,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 1

A. Tur Checa/T. Gasparin Santos vs A. Campo/G. Giacalone",2026-06-10 08:03:11.671953+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwaqfsweq2d,bafyreihjotnsa73y4hf5zcsox3l5qye5k53rxw3tzultlczql7aytrxe6m,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 2

I. Corbo/M. Bartusek vs M. Alonso/J. Mazzochi",2026-06-10 08:03:10.829236+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
at://did:plc:eaxssnsscqcqspj7h4oeuxfj/app.bsky.feed.post/3mnwaqf3y7u2r,bafyreibfmc5zvlbezhdjc7qcvj4y7sp4a2darzxbykl7yoa73dsba5bucm,pistacloud.bsky.social,did:plc:eaxssnsscqcqspj7h4oeuxfj,Pista,"FIP SILVER MEDIOLANUM PADEL CUP

Qualifying - Male - 1

A. Terzo/N. Pineda vs A. Di Martino/A. Stella",2026-06-10 08:03:10.078838+00:00,0,0,0,0,[],[],[],padel,padel,padel_only,0
