node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:wfnerm5c2emfy4iffllxqlr5,andreafriz.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:36zpq6cbx7jmsoce2hr624v4,siisar.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:4vmk2bts7rbvhlikpd5357ck,shymon84.bsky.social,padel_only,['padel'],1,2,0,0,0,0
did:plc:eaxssnsscqcqspj7h4oeuxfj,pistacloud.bsky.social,padel_only,['padel'],116,1,0,0,0,0
did:plc:2htr6vzopp6mejep7qcpszru,reporterre.net,padel_only,['padel'],1,27,0,0,0,0
did:plc:7gm6utgclnawvcy6vq7jr4se,iiddlacartuja.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:chdvqiidiammex3672g7baii,tesmagazine.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:4i7xwq5tgasaziqv3klq2cn7,a51fr3d.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:vqctfee3lou7xrepan4luyoi,usdailyreport.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:6awzyrbzjsdxqvwpwjm4uyo3,jacksofhearts.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:4t35l5hpuol6vwgq2u6l7bq4,padelgrab.bsky.social,padel_only,['padel'],38,22,0,0,0,0
did:plc:sgbt3g5227knvrbkz3kfsm4f,ilovelimerick.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:t6yler265sc2u2u2uzkbv2s6,gianfrancostabile.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:o2s4zwxlw3fwv5idbym4rdpb,medianormandie.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:gvo74ksplqezvse47t6a2si3,hippodecampe.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:r4oxmrz3yixsmz4yljqeqtjx,lamarinaplaza.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:kulv4thvyluft3hgaycrxpdq,ilquaderno.bsky.social,both,"['padel', 'tennis']",25,0,0,0,0,0
did:plc:hp53fqmqguw7edznqtudpcua,frozax.com,padel_only,['padel'],3,26,0,0,0,0
did:plc:ewopgvrkuv5jsqrarrmydelc,kallimakhos.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:eegwuwrwuxot5wjefjgadpbb,presse83.fr,padel_only,['padel'],1,0,0,0,0,0
did:plc:ozfkxoeholyjq77grteqfi4o,fgderrien.bsky.social,padel_only,['padel'],1,1,0,2,0,2
did:plc:tpqmtopgnsfestsyyzit67ue,rob-hanna.bsky.social,padel_only,['padel'],2,5,0,0,0,0
did:plc:6vwzq6ohuaspqpg3sa6ebsgw,new3rd.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:5ifxomhg35xd6opak7ywfz5k,bomjogopadel.bsky.social,padel_only,['padel'],8,9,0,0,0,0
did:plc:hqpehjihnhapmn3qp5gfm43b,padelcervello.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:borgwedjkw33wq62odfxjik5,louisette02.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:sp4n47vvnrezv5u2gwkjk76m,nasdaq.activitypub.awakari.com.ap.brid.gy,padel_only,['padel'],1,0,0,0,0,0
did:plc:yiiassjxdb7ciwk3ruilkcw6,businessam.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:hslirr7h6d7livppaxty435b,newsen.bsky.social,both,"['padel', 'tennis']",7,3,0,0,0,0
did:plc:mfzun5eeenyckruefdmeqw6g,sustainhealth.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:ywdwhqhaqnpll272s3jju64u,javierpanzardo.bsky.social,both,"['padel', 'tennis']",8,8,0,0,0,0
did:plc:sqqxswev6gkhnhlfsifcarwx,grahamdowns.mastodon.africa.ap.brid.gy,padel_only,['padel'],1,0,0,0,0,0
did:plc:lzruvsyzcfwiyo7v42zlykle,sps-institut.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:4ytqpnu66uaqgsq2vqrmlld6,harrogatechamber.co.uk,padel_only,['padel'],1,0,0,0,0,0
did:plc:wjc3z3gtiq3oquai3hnz5rjz,globalvisibility.bsky.social,both,"['padel', 'tennis']",4,0,0,0,0,0
did:plc:pdrmzmx3hlzzilwiddgf6w4c,lindasartini.mastodon.uno.ap.brid.gy,padel_only,['padel'],1,0,0,0,0,0
did:plc:67omjvw4s6ihsjbvvlk2wy66,easyassetsearch.com,padel_only,['padel'],1,0,0,0,0,0
did:plc:t4axx4lisxr6u3s2ip7vnhbe,johnwimperis.bsky.social,padel_only,['padel'],1,2,0,0,0,0
did:plc:snzdvc77vmcdmkoxklypggvo,donporque.bsky.social,both,"['padel', 'tennis']",15,1,0,0,0,0
did:plc:eua6tcmammnjlrublarm7qhv,sprungflooring.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:jxgflspyzzs54ejyjdspl2ur,putneynews.bsky.social,both,"['padel', 'tennis']",2,0,0,0,0,0
did:plc:7kva7whd52kugqh3lrxlnhf6,stefanobornia.bsky.social,both,"['padel', 'tennis']",4,5,0,0,0,0
did:plc:nzivtk27jtu3r2edg4t7mmpt,padelrivals.bsky.social,padel_only,['padel'],2,10,0,0,0,0
did:plc:ozf55fcugazdqj77nhhstfnu,blazetrends.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:yxvg377snkmnbinvs5ixjkqr,fallen-seraph.bsky.social,padel_only,['padel'],1,60,0,0,0,0
did:plc:hkkjq7ytegaisszpy3vtnixn,tuscantennis.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:q6prnqs7m6audjujt7fnqk5j,cronachecampania.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:dvocgo2owvcsoy5bbg5g2xwv,oleiros.online,padel_only,['padel'],1,0,0,0,0,0
did:plc:l4vgkjfizkuyhei56tini27c,universidadxclima.mastodon.social.ap.brid.gy,padel_only,['padel'],1,0,0,0,0,0
did:plc:ubzy276dnzydja43m657y2ro,wildebeastimages.bsky.social,padel_only,['padel'],1,55,0,0,0,0
did:plc:ehcejvpliu6mztinox6e5lrs,vikingvgame.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:bpwob74tr4ojs3e7ljmizwnd,bryanseah234.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:eqimk7or36eu77ifwyco3uxb,sigma-world.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:aeth3ouewgsexliforqyolgp,driversandnorris.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:2wb7rs3szlzv5bl62ifmmmo2,putting-gott.bsky.social,padel_only,['padel'],2,0,0,0,0,0
did:plc:f7nfvma4oivfdrrkru2no3fe,markgoodrich.bsky.social,padel_only,['padel'],1,1,0,0,0,0
did:plc:swxfjzxmtjmo23d3rlx7rqvi,everton.toffeetvefc.com,padel_only,['padel'],1,2,0,0,0,0
did:plc:4a6iz7wswrtlrzhp4fpdotxe,giveawaydrop.bsky.social,padel_only,['padel'],1,0,0,0,0,0
did:plc:whgvxqpobouy3nrqsvo2fldq,torinoindiretta.bsky.social,both,"['padel', 'tennis']",2,1,0,0,0,0
did:plc:ykbqjvi5ok4gkjafeofikgfz,seketika.bsky.social,padel_only,['padel'],2,0,0,0,0,0
